skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
cloud architectures,https://www.udemy.com/course/google-cloud-professional-cloud-architect-certification/,https://img-c.udemycdn.com/course/240x135/3995372_4064.jpg,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",GCP Professional Cloud Architect: Google Cloud Certification,Become a GCP Cloud Architect. Architect Google Cloud Platform (GCP) Solutions. Includes 4 New Case Studies.,4.6,12379,All Levels,337 lectures,21 total hours,Current price: $119.99
cloud architectures,https://www.udemy.com/course/the-complete-cloud-computing-software-architecture-patterns/,https://img-c.udemycdn.com/course/240x135/4472674_020e_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",The Complete Cloud Computing Software Architecture Patterns,"Architect Large Scale Systems using Cloud Computing, Software Architecture Patterns & Modern System Design Principles",4.7,2216,All Levels,26 lectures,4.5 total hours,Current price: $84.99
cloud architectures,https://www.udemy.com/course/data-architecture-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/6268045_b022.jpg,Manas Jain,Data Architecture for Data Engineers: Practical Approaches,"Building Scalable, Efficient Data Solutions with Real-World Applications",4.5,119,All Levels,41 lectures,4 total hours,Current price: $69.99
cloud architectures,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,https://img-c.udemycdn.com/course/240x135/3997622_0670_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",4.7,11311,All Levels,45 lectures,7 total hours,Current price: $109.99
cloud architectures,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,https://img-c.udemycdn.com/course/240x135/2196488_8fc7_10.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Ultimate AWS Certified Solutions Architect Associate 2025,Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!,4.7,253574,All Levels,398 lectures,27.5 total hours,Current price: $119.99
cloud architectures,https://www.udemy.com/course/microsoft-azure-cloud-architecture-case-studies/,https://img-c.udemycdn.com/course/240x135/4321566_5fc5.jpg,Memi Lavi,Microsoft Azure: Cloud Architecture Case Studies,Become an even better Cloud Architect by learning from real-world cloud architecture case studies.,4.5,1050,Intermediate,89 lectures,4 total hours,Current price: $79.99
cloud architectures,https://www.udemy.com/course/google-professional-cloud-architect-gcp-pca-exams/,https://img-c.udemycdn.com/course/240x135/4555898_37da_5.jpg,Paweł Krakowiak,Google Professional Cloud Architect - PCA - Practice Exams,Conquer the Google Professional Cloud Architect Exam - Master Cloud Architecture and Lead Transformational Projects!,4.3,616,All Levels,420 questions,,Current price: $54.99
cloud architectures,https://www.udemy.com/course/google-cloud-architect-certifications/,https://img-c.udemycdn.com/course/240x135/1343890_c3c3_15.jpg,"Google Cloud Experts Cloud Architect, Google Cloud Platform Gurus !",Google Certified Professional Cloud Architect 2025,"449,000 Subscriptions-In depth coverage of all Services-300+ Practice questions Including 3 case Studies Analysis Design",4.1,5154,All Levels,254 lectures,29.5 total hours,Current price: $44.99
cloud architectures,https://www.udemy.com/course/google-cloud-platform-from-zero-to-hero-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/5485846_95c2.jpg,Memi Lavi,Google Professional Cloud Architect - The Complete Guide,Become a Certified Google Cloud Architect! Learn how to design and build modern cloud apps like a pro.,4.7,439,Beginner,264 lectures,17 total hours,Current price: $19.99
cloud architectures,https://www.udemy.com/course/aws-mastery-hands-on-cloud-projects-for-engineers/,https://img-c.udemycdn.com/course/240x135/6362029_fba1_4.jpg,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,AWS Mastery: 26 AWS Cloud Projects for Engineers & Architect,"Master AWS with 26 Hands-On AWS Projects, Hands-on and Assignments covering VPC, EC2, Lambda, and Real-World Scenarios.",4.9,108,Intermediate,33 lectures,27 total hours,Current price: $79.99
