skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
appdynamics,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,https://img-c.udemycdn.com/course/240x135/2533568_2828_6.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",AWS Certified DevOps Engineer Professional 2025 - DOP-C02,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,4.7,18041,Intermediate,248 lectures,17 total hours,Current price: $149.99
appdynamics,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exams-amazon-dop-c02/,https://img-c.udemycdn.com/course/240x135/2644002_eff2_6.jpg,"Jon Bonso AWS Certified Cloud Practitioner, Developer, Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Amiel Palacol AWS Certified Solutions Architect, DevOps Engineer Professional",AWS Certified DevOps Engineer Professional Practice Exams,Be an AWS DevOps Engineer! AWS Certified DevOps Engineer Professional Practice Tests that covers all DOP-C02 topics!,4.5,1285,Intermediate,150 questions,,Current price: $59.99
appdynamics,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exam-dop/,https://img-c.udemycdn.com/course/240x135/2567118_611e_8.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams | AWS Certified DevOps Engineer Professional,AWS Certified DevOps: 120 high fidelity questions: AWS Certified DevOps Engineer Professional DOP-C02.,4.4,2568,All Levels,120 questions,,Current price: $59.99
appdynamics,https://www.udemy.com/course/gcp-google-cloud-professional-devops-engineer-certification/,https://img-c.udemycdn.com/course/240x135/4133780_4390_9.jpg,"Ankit Mistry : 150,000+ Students, GCP Certification - Google Cloud Academy | Associate Cloud & Professional Engineer Certifications",GCP Google Cloud Professional DevOps Engineer Certification,Pass Google Cloud Professional DevOps Certification with 12+ Hours of HD quality video and 70+ Hands-on Practical labs,4.2,2106,All Levels,112 lectures,13.5 total hours,Current price: $79.99
appdynamics,https://www.udemy.com/course/decodingdevops/,https://img-c.udemycdn.com/course/240x135/4039556_ebb3_9.jpg,Imran Teli,DevOps Beginners to Advanced with Projects,"Begin Your DevOps Career As a Newbie | AWS, Linux, Scripting, Jenkins, Ansible, GitOps, Docker, Kubernetes, & Terraform.",4.6,36463,All Levels,318 lectures,53 total hours,Current price: $119.99
appdynamics,https://www.udemy.com/course/the-complete-devops-bootcamp/,https://img-c.udemycdn.com/course/240x135/4347106_9cfa.jpg,"Mumshad Mannambeth, KodeKloud Training",The Ultimate DevOps Bootcamp,The ultimate DevOps Bootcamp course for all your DevOps learning,4.6,6636,Beginner,281 lectures,17.5 total hours,Current price: $99.99
appdynamics,https://www.udemy.com/course/appdynamics-for-performance-testers-devops-and-appd-admins/,https://img-c.udemycdn.com/course/240x135/5672460_62b6_5.jpg,"Kumar Gupta Isha Training Solutions, Anand Kumar Gupta, Saravanan Srinivasan",CISCO AppDynamics for Performance Testers and AppD admins,"(30 Day Money Back Guarantee) - Extensive, Hands-on Training with sample Project and Material.",4.2,389,All Levels,19 lectures,11 total hours,Current price: $19.99
appdynamics,https://www.udemy.com/course/cisco-appdynamics-application-performance-management-apm/,https://img-c.udemycdn.com/course/240x135/2986274_5adb_2.jpg,Chidi Uchegbu,Cisco AppDynamics Application Performance Management (APM),Cisco AppDynamics,4.3,1211,All Levels,31 lectures,8 total hours,Current price: $59.99
appdynamics,https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,https://img-c.udemycdn.com/course/240x135/2813427_cc60_2.jpg,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps","DevOps for Absolute Beginners: Azure DevOps, Docker, Kubernetes, Jenkins, Terraform, Ansible - AWS, Azure & Google Cloud",4.5,15966,All Levels,235 lectures,21.5 total hours,Current price: $139.99
appdynamics,https://www.udemy.com/course/google-professional-cloud-devops-engineer-practice-exam-test/,https://img-c.udemycdn.com/course/240x135/5887092_d2ff.jpg,Priya Dw | CertifyQuick - CertShield,Google Cloud Pro DevOps Engineer: Full Practice Tests 2025,"Master Google Cloud DevOps with real exam-style question on CI/CD, SRE, Monitoring, IAM&GKE for 2025 success |CertShield",4.9,15,All Levels,186 questions,,Current price: $19.99
appdynamics,https://www.udemy.com/course/devopsprojects/,https://img-c.udemycdn.com/course/240x135/3710504_9b6d_9.jpg,Imran Teli,DevOps Projects | Real Time DevOps & GitOps Projects,Master Your DevOps Skills with Real challenge,4.7,3409,Intermediate,218 lectures,33.5 total hours,Current price: $89.99
appdynamics,https://www.udemy.com/course/aws-certified-devops-engineer-professional-updated/,https://img-c.udemycdn.com/course/240x135/6100871_b6a4_2.jpg,Algoholic.pro ™,AWS Certified DevOps Engineer - Professional DOP-C02  - 2025,Pass AWS DevOps Engineer Professional in 1 Attempt by mastering automation and CI/CD principles,5.0,2,All Levels,640 questions,,Current price: $19.99
appdynamics,https://www.udemy.com/course/cisco-appdynamics-advanced-apm-design-deploymen-and-administration/,https://img-c.udemycdn.com/course/240x135/4352048_1654_3.jpg,Chidi Uchegbu,"Cisco AppDynamics Core APM - Design, Deploy and Administer",Cisco AppDynamics Controller Platform Advanced Administration,4.3,40,Intermediate,39 lectures,9 total hours,Current price: $44.99
appdynamics,https://www.udemy.com/course/linux-for-cloud-engineers-a-complete-project-based-learning/,https://img-c.udemycdn.com/course/240x135/5403140_ce56_12.jpg,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,"Linux for DevOps, Cloud, and SRE Engineers","Master Linux fundamentals, shell scripting, process management & networking for DevOps, Cloud, and SRE Engineers",4.4,401,Beginner,26 lectures,5.5 total hours,Current price: $59.99
appdynamics,https://www.udemy.com/course/valaxy-git/,https://img-c.udemycdn.com/course/240x135/3184348_e5db_5.jpg,AR Shankar | Valaxy Technologies,Git and GitHub for DevOps Engineers,DevOps Engineer Roles on Git and GitHub from Creating a Repository to Releasing Code onto Production Environment,4.6,1521,All Levels,54 lectures,6.5 total hours,Current price: $74.99
appdynamics,https://www.udemy.com/course/aws-devops-engineer-technical-skills/,https://img-c.udemycdn.com/course/240x135/6228803_d7fb.jpg,Jobskillshare Community,AWS DevOps Engineer Technical Skills,AWS Cloud DevOps Engineer,4.7,18,Intermediate,100 lectures,18 total hours,Current price: $74.99
appdynamics,https://www.udemy.com/course/ultimate-devops-project-with-resume-preparation/,https://img-c.udemycdn.com/course/240x135/6416543_f441_4.jpg,Abhishek Veeramalla,Ultimate DevOps Project Implementation,End to End DevOps Implementation on an E-Commerce project with Resume preparation and Interview Q&A,4.8,1993,Beginner,76 lectures,12 total hours,Current price: $44.99
appdynamics,https://www.udemy.com/course/generative-ai-for-devops-engineers/,https://img-c.udemycdn.com/course/240x135/6088953_912c.jpg,Raghu The Security Expert,Generative AI (GenAI) for DevOps and DevSecOps Engineers,Gen AI for DevOps and DevSecOps Engineers | Learn about Basics of Gen AI | Use Gen AI Models Online and on Local Machine,4.6,770,All Levels,23 lectures,2.5 total hours,Current price: $19.99
appdynamics,https://www.udemy.com/course/master-aws-certified-devops-engineer-professional/,https://img-c.udemycdn.com/course/240x135/2045722_9c82_2.jpg,Zeal Vora,AWS Certified DevOps Engineer - Professional 2024,All you need to master AWS Certified DevOps Engineer - Professional (DOP-C02) certification.,4.7,1435,Intermediate,313 lectures,35.5 total hours,Current price: $22.99
appdynamics,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exams-course/,https://img-c.udemycdn.com/course/240x135/5154072_8d6c_3.jpg,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",AWS Certified DevOps Engineer Professional Practice Exams,[2025] Pass the AWS DevOps Engineer Professional Exam DOP-C02 | Exam-Difficulty Practice Questions + Exam Simulation,4.0,310,Intermediate,130 questions,,Current price: $64.99
