skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
cucumber,https://www.udemy.com/course/cucumber-tutorial/,https://img-c.udemycdn.com/course/240x135/1560542_53ed_3.jpg,Rahul Shetty,Learn Cucumber BDD with Java -MasterClass Selenium Framework,Step by Step Cucumber BDD Framework Tutorial with Java and implement Robust Selenium WebDriver Framework from scratch,4.6,14392,All Levels,81 lectures,12 total hours,Current price: $94.99
cucumber,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exams-amazon-dop-c02/,https://img-c.udemycdn.com/course/240x135/2644002_eff2_6.jpg,"Jon Bonso AWS Certified Cloud Practitioner, Developer, Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Amiel Palacol AWS Certified Solutions Architect, DevOps Engineer Professional",AWS Certified DevOps Engineer Professional Practice Exams,Be an AWS DevOps Engineer! AWS Certified DevOps Engineer Professional Practice Tests that covers all DOP-C02 topics!,4.5,1285,Intermediate,150 questions,,Current price: $59.99
cucumber,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exam-dop/,https://img-c.udemycdn.com/course/240x135/2567118_611e_8.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams | AWS Certified DevOps Engineer Professional,AWS Certified DevOps: 120 high fidelity questions: AWS Certified DevOps Engineer Professional DOP-C02.,4.4,2568,All Levels,120 questions,,Current price: $59.99
cucumber,https://www.udemy.com/course/gcp-google-cloud-professional-devops-engineer-certification/,https://img-c.udemycdn.com/course/240x135/4133780_4390_9.jpg,"Ankit Mistry : 150,000+ Students, GCP Certification - Google Cloud Academy | Associate Cloud & Professional Engineer Certifications",GCP Google Cloud Professional DevOps Engineer Certification,Pass Google Cloud Professional DevOps Certification with 12+ Hours of HD quality video and 70+ Hands-on Practical labs,4.2,2106,All Levels,112 lectures,13.5 total hours,Current price: $79.99
cucumber,https://www.udemy.com/course/learn-selenium-with-java-live-project/,https://img-c.udemycdn.com/course/240x135/2134190_d86d_7.jpg,Pavan Kumar,"Learn Selenium with Java, Cucumber & Frameworks","Core Java, Selenium WebDriver, TestNG , Cucumber, Maven, Jenkins, GIT, GitHub, Docker & Frameworks",4.6,10325,All Levels,72 lectures,102.5 total hours,Current price: $124.99
cucumber,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,https://img-c.udemycdn.com/course/240x135/2533568_2828_6.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",AWS Certified DevOps Engineer Professional 2025 - DOP-C02,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,4.7,18041,Intermediate,248 lectures,17 total hours,Current price: $149.99
cucumber,https://www.udemy.com/course/decodingdevops/,https://img-c.udemycdn.com/course/240x135/4039556_ebb3_9.jpg,Imran Teli,DevOps Beginners to Advanced with Projects,"Begin Your DevOps Career As a Newbie | AWS, Linux, Scripting, Jenkins, Ansible, GitOps, Docker, Kubernetes, & Terraform.",4.6,36463,All Levels,318 lectures,53 total hours,Current price: $119.99
cucumber,https://www.udemy.com/course/cucumber-bdd-masterclass/,https://img-c.udemycdn.com/course/240x135/4344240_b374_7.jpg,Omprakash Chavan,Cucumber BDD Masterclass with Selenium 4 & Java + Framework,"Learn *real world* Cucumber BDD from scratch, develop robust framework with Selenium WebDriver, Page Object Model & APIs",4.5,880,All Levels,161 lectures,17 total hours,Current price: $79.99
cucumber,https://www.udemy.com/course/cucumber-bdd/,https://img-c.udemycdn.com/course/240x135/6336655_cff3.jpg,Pankaj Gupta,Mastering Cucumber BDD: A Beginner's Guide to Automate Tests,Learn Behavior-Driven Development (BDD) with Cucumber and Master Automated Testing for Web Applications / API Automation,4.9,20,All Levels,70 lectures,5 total hours,Current price: $44.99
cucumber,https://www.udemy.com/course/the-complete-devops-bootcamp/,https://img-c.udemycdn.com/course/240x135/4347106_9cfa.jpg,"Mumshad Mannambeth, KodeKloud Training",The Ultimate DevOps Bootcamp,The ultimate DevOps Bootcamp course for all your DevOps learning,4.6,6636,Beginner,281 lectures,17.5 total hours,Current price: $99.99
cucumber,https://www.udemy.com/course/playwright-cucumber-bdd-with-java-novice-to-pro/,https://img-c.udemycdn.com/course/240x135/6238169_059b_3.jpg,Gianni Bruno,Playwright & Cucumber BDD with Java: Novice to Pro,"Master automated UI testing with Playwright, Cucumber BDD, and Java",4.8,20,All Levels,95 lectures,14 total hours,Current price: $89.99
cucumber,https://www.udemy.com/course/cypress-tutorial/,https://img-c.udemycdn.com/course/240x135/2470214_97a0_7.jpg,Rahul Shetty,Cypress -Modern Automation Testing from Scratch + Frameworks,Learn writing fast and robust Automated (UI + Integration) Tests using Cypress V14 with Mocha and Cucumber frameworks,4.6,17838,All Levels,117 lectures,20.5 total hours,Current price: $119.99
cucumber,https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,https://img-c.udemycdn.com/course/240x135/2813427_cc60_2.jpg,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps","DevOps for Absolute Beginners: Azure DevOps, Docker, Kubernetes, Jenkins, Terraform, Ansible - AWS, Azure & Google Cloud",4.5,15966,All Levels,235 lectures,21.5 total hours,Current price: $139.99
cucumber,https://www.udemy.com/course/valaxy-git/,https://img-c.udemycdn.com/course/240x135/3184348_e5db_5.jpg,AR Shankar | Valaxy Technologies,Git and GitHub for DevOps Engineers,DevOps Engineer Roles on Git and GitHub from Creating a Repository to Releasing Code onto Production Environment,4.6,1521,All Levels,54 lectures,6.5 total hours,Current price: $74.99
cucumber,https://www.udemy.com/course/devops-training/,https://img-c.udemycdn.com/course/240x135/1464166_c16e_33.jpg,TechLink Selenium | DevOps | GenAI,DevOps MasterClass: Terraform Kubernetes Ansible Docker,"DevOps with Jenkins Terraform GIT Docker Maven Kubernetes Ansible Automation Docker Swarm, DevOps Real world Exercises",4.5,6619,All Levels,548 lectures,76.5 total hours,Current price: $139.99
cucumber,https://www.udemy.com/course/cucumber-bdd-selenium-java-complete-automation-course/,https://img-c.udemycdn.com/course/240x135/1338748_ddcc_32.jpg,Gianni Bruno,"Selenium WebDriver 4, Cucumber BDD, Java & More!","Full Automation Testing Bootcamp! Learn automation testing using Selenium Webdriver 4, Java, Cucumber BDD, TestNG & More",4.5,1974,All Levels,71 lectures,10 total hours,Current price: $79.99
cucumber,https://www.udemy.com/course/specflow-master-guide/,https://img-c.udemycdn.com/course/240x135/4350350_9cb7.jpg,Tim MacLachlan,ReqNRoll / Specflow and Cucumber - The Master Guide [2025],Learn ReqNRoll / Specflow and Cucumber from Beginner to Expert for .NET developers made easy!,4.4,110,All Levels,139 lectures,8.5 total hours,Current price: $69.99
cucumber,https://www.udemy.com/course/cucumber-java-tutorial/,https://img-c.udemycdn.com/course/240x135/6135279_e3d2_2.jpg,Shelendra Kumar,ZeroToHero Cucumber BDD Basics + Advanced +Framework design,"*2024* Cucumber BDD Pro: From Basics to Advanced with Selenium, Java, TestNG, JUnit, Step-by-Step Framework Development",4.5,78,All Levels,127 lectures,16.5 total hours,Current price: $69.99
cucumber,https://www.udemy.com/course/cypress-ultimate-course/,https://img-c.udemycdn.com/course/240x135/3199444_1202_5.jpg,Vignesh S,Cypress V14.2.1 -Docker + Cucumber + Jenkins -APR'25 Course,"2025-ONLY COURSE on Cypress latest Version 14.2.1 with DOCKER , CUCUMBER, JENKINS and JAVASCRIPT BASICS",4.4,310,All Levels,117 lectures,10.5 total hours,Current price: $59.99
cucumber,https://www.udemy.com/course/cucumber-from-scratch/,https://img-c.udemycdn.com/course/240x135/3026130_8ef2_14.jpg,Dezlearn Education,Learn Cucumber BDD From Scratch+ Automation Framework Design,"Highest Rated Course on Cucumber BDD! Learn Cucumber with Java, Maven, JUnit, Selenium WebDriver, Page Object Model.",4.6,5230,All Levels,36 lectures,4 total hours,Current price: $64.99
