skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
lambda,https://www.udemy.com/course/aws-lambda-serverless/,https://img-c.udemycdn.com/course/240x135/1241098_c240_11.jpg,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",AWS Lambda and the Serverless Framework - Hands On Learning!,"Develop and Deploy AWS Lambda Functions with Serverless, Learn Lambda Real World Integrations with Amazon Web Services",4.3,9107,Beginner,92 lectures,10.5 total hours,Current price: $89.99
lambda,https://www.udemy.com/course/mastering-aws-lambda-functions/,https://img-c.udemycdn.com/course/240x135/3959980_b4b6_2.jpg,"Durga Viswanatha Raju Gadiraju, Pratik Kumar, Sathvika Dandu, Madhuri Gadiraju, Sai Varma, Phani Bhushan Bozzam, Anushka Chakraborty",Master AWS Lambda Functions for Data Engineers using Python,"Build Lambda Functions using Python, Lambda Triggers, Deploy using layers and Docker, Validate using Glue and Athena",4.1,257,Intermediate,154 lectures,13.5 total hours,Current price: $69.99
lambda,https://www.udemy.com/course/aws-lambda-serverless-developer-guide-with-hands-on-labs/,https://img-c.udemycdn.com/course/240x135/4757674_0a1f_3.jpg,Mehmet Ozkaya,AWS Lambda & Serverless - Developer Guide with Hands-on Labs,Develop thousands line of AWS Lambda functions interact to AWS Serverless services with Real-world Hands-on Labs,4.4,553,Beginner,383 lectures,28.5 total hours,Current price: $84.99
lambda,https://www.udemy.com/course/aws-sam-framework-and-aws-lambda/,https://img-c.udemycdn.com/course/240x135/4740972_17f3_2.jpg,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",AWS SAM Framework and AWS Lambda - A Complete Hands-on Guide,"Master AWS SAM Framework and AWS Lambda Functions, Build Real World Serverless Applications Integrated with AWS Services",4.5,286,All Levels,83 lectures,7.5 total hours,Current price: $64.99
lambda,https://www.udemy.com/course/aws-lambda-a-practical-guide/,https://img-c.udemycdn.com/course/240x135/4535188_a246.jpg,Daniel Galati,AWS Lambda - A Practical Guide - Learn from an Expert,"Learn the fundamentals of AWS Lambda and 3 practice projects using API Gateway, SQS, Cloudwatch Events, and CDK",4.5,1919,All Levels,42 lectures,7.5 total hours,Current price: $79.99
lambda,https://www.udemy.com/course/aws-mastery-hands-on-cloud-projects-for-engineers/,https://img-c.udemycdn.com/course/240x135/6362029_fba1_4.jpg,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,AWS Mastery: 26 AWS Cloud Projects for Engineers & Architect,"Master AWS with 26 Hands-On AWS Projects, Hands-on and Assignments covering VPC, EC2, Lambda, and Real-World Scenarios.",4.9,108,Intermediate,33 lectures,27 total hours,Current price: $79.99
lambda,https://www.udemy.com/course/serverless-programming-using-aws-lambda-for-java-developers/,https://img-c.udemycdn.com/course/240x135/3678230_1069_2.jpg,Bharath Thippireddy,Serverless using AWS Lambda for Java Developers,Create Build and Deploy Serverless Applications with AWS Lambdas,4.7,925,All Levels,112 lectures,7.5 total hours,Current price: $84.99
lambda,https://www.udemy.com/course/aws-lambda-and-python-full-course-beginner-to-advanced/,https://img-c.udemycdn.com/course/240x135/4577942_2ba4_12.jpg,Rahul Trisal,"AWS Lambda, Python(Boto3) & Serverless- Beginner to Advanced","Beginners looking to build Serverless Apps with Lambda, Python(Boto3), AWS Bedrock , API GW (No coding experience reqd.)",4.5,593,Beginner,79 lectures,9 total hours,Current price: $74.99
lambda,https://www.udemy.com/course/aws-lambda-dotnet/,https://img-c.udemycdn.com/course/240x135/4689888_b522_4.jpg,Rahul Nath,AWS Lambda For The .NET Developer,Learn to build Serverless Applications on AWS,4.6,563,Beginner,25 lectures,2.5 total hours,Current price: $79.99
lambda,https://www.udemy.com/course/aws-lambda-from-zero-to-hero/,https://img-c.udemycdn.com/course/240x135/4389548_0db2_2.jpg,Matej Vasko,AWS Lambda - from ZERO to HERO,Things I wish I knew before I started working with Lambda,4.5,146,All Levels,20 lectures,1.5 total hours,Current price: $49.99
lambda,https://www.udemy.com/course/aws-lambda-serverless-architecture/,https://img-c.udemycdn.com/course/240x135/1691532_c76b_10.jpg,"Riyaz Sayyad, RIZMAXed by Riyaz Sayyad",[NEW V2] AWS Lambda & Serverless Architecture Bootcamp 2025,"AWS Serverless with AWS Lambda, API Gateway, Amazon DynamoDB, Step Functions, SAM, Observability, DevOps & more",4.2,5671,All Levels,348 lectures,31.5 total hours,Current price: $99.99
