skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
powershell scripting,https://www.udemy.com/course/powershell-from-beginner-to-sheller-and-scripter/,https://img-c.udemycdn.com/course/240x135/979510_95e0.jpg,David Fitzpatrick,PowerShell  from Beginner To Sheller And Scripter,Learn how to use PowerShell the easy way,4.7,2174,Beginner,115 lectures,11.5 total hours,Current price: $99.99
powershell scripting,https://www.udemy.com/course/master-windows-powershell/,https://img-c.udemycdn.com/course/240x135/6180477_0476_2.jpg,Nerd Academy ⭑,"PowerShell Mastery: Script, Automate & Succeed + 75 Projects",★ 20+ Hours Of Content  ★ 75 Hands-On Exercises – Master PowerShell 5.1 / 7 - Including Advanced Scripting / Automation,4.7,118,All Levels,150 lectures,20.5 total hours,Current price: $84.99
powershell scripting,https://www.udemy.com/course/powershell-stairway-to-automation/,https://img-c.udemycdn.com/course/240x135/3115680_eff8_11.jpg,Powershell Academy,Powershell Essential Training on Automation and Scripting,Learn powershell from scratch and become a geek in powershell Automation and Powershell scripting. FREE TOOL DOWNLOAD,4.7,758,Intermediate,57 lectures,7 total hours,Current price: $74.99
powershell scripting,https://www.udemy.com/course/powershell-for-systems-engineers/,https://img-c.udemycdn.com/course/240x135/5278568_6463_2.jpg,Jim Tyler,PowerShell for Systems Engineers,Leveraging Automation and ChatGPT to Solve Business Problems,4.6,44,All Levels,91 lectures,6.5 total hours,Current price: $19.99
powershell scripting,https://www.udemy.com/course/powershell-advanced/,https://img-c.udemycdn.com/course/240x135/3346756_531f.jpg,David Fitzpatrick,PowerShell Advanced,PowerShell from Basic Scripter to Advanced Scripter,4.6,197,Intermediate,82 lectures,8 total hours,Current price: $64.99
powershell scripting,https://www.udemy.com/course/powershell-scripting-and-automation-for-sql-server-dba/,https://img-c.udemycdn.com/course/240x135/5418430_a235.jpg,Rajesh J,PowerShell Scripting and Automation for SQL Server DBA,"Automation, Automation using PowerShell, PowerShell Scripting for SQL Server Database Administrator, PowerShell for SQL",4.5,125,Intermediate,111 lectures,37 total hours,Current price: $84.99
powershell scripting,https://www.udemy.com/course/powershell-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/6038506_807c_2.jpg,Luxmi Narayan,Effortless PowerShell Scripting with ChatGPT: A Masterclass,"Learn how to write efficient PowerShell Scripts using ChatGPT, Best Practice and Things that you should be careful about",4.7,28,All Levels,17 lectures,1.5 total hours,Current price: $19.99
powershell scripting,https://www.udemy.com/course/exploring-the-power-of-powershell-a-comprehensive-guide/,https://img-c.udemycdn.com/course/240x135/5728296_73ad_7.jpg,Varun Sh,PowerShell Scripting from scratch: Automate Like a Pro,"Master Windows PowerShell: Scripting, Automation and Azure management",4.4,226,Beginner,34 lectures,5 total hours,Current price: $69.99
powershell scripting,https://www.udemy.com/course/administration-and-automation-with-windows-powershell/,https://img-c.udemycdn.com/course/240x135/3469910_c44b_2.jpg,Intellezy Trainers,Administration and Automation with Windows PowerShell,Learn the fundamental knowledge and skills to use Windows PowerShell.,4.7,1644,Intermediate,101 lectures,10.5 total hours,Current price: $84.99
powershell scripting,https://www.udemy.com/course/bash-mastery/,https://img-c.udemycdn.com/course/240x135/2997494_0cc5_2.jpg,"Ziyad Yehia, Internet of Things Academy",Bash Mastery: The Complete Guide to Bash Shell Scripting,"Master Bash Shell Scripting to Automate Tasks, Save Time, and Boost Your Career. Practical Projects + All Code Included.",4.8,3906,All Levels,111 lectures,12 total hours,Current price: $84.99
powershell scripting,https://www.udemy.com/course/linux-for-cloud-engineers-a-complete-project-based-learning/,https://img-c.udemycdn.com/course/240x135/5403140_ce56_12.jpg,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,"Linux for DevOps, Cloud, and SRE Engineers","Master Linux fundamentals, shell scripting, process management & networking for DevOps, Cloud, and SRE Engineers",4.4,401,Beginner,26 lectures,5.5 total hours,Current price: $59.99
powershell scripting,https://www.udemy.com/course/powershell-object-oriented/,https://img-c.udemycdn.com/course/240x135/3607670_4a29_4.jpg,Fettah Ben,Advanced PowerShell: Exploring Object-Oriented Scripting,Master the Essential Building Blocks of PowerShell to Automate Your IT Tasks and Save Yourself Time and Effort,4.5,180,All Levels,73 lectures,5.5 total hours,Current price: $84.99
powershell scripting,https://www.udemy.com/course/windows-powershell-training/,https://img-c.udemycdn.com/course/240x135/1768672_4063_2.jpg,"Paul Hill, Robert Hill",Introduction to Windows PowerShell 5.1,"Install PowerShell 5.1, Understand PowerShell Syntax, Setup a PowerShell IT lab, Manage Active Directory with Powershell",4.5,10869,All Levels,123 lectures,11 total hours,Current price: $124.99
powershell scripting,https://www.udemy.com/course/the-ultimate-windows-powershell-scripting/,https://img-c.udemycdn.com/course/240x135/4179840_8602.jpg,Jason Vanburen,The Ultimate Windows PowerShell Scripting Course: A to Z,Learn how to use Windows PowerShell scripts to automate and manage your environment.,4.3,49,All Levels,66 lectures,6 total hours,Current price: $39.99
powershell scripting,https://www.udemy.com/course/the-advanced-powershell-scripting-crash-course/,https://img-c.udemycdn.com/course/240x135/1989490_afd7.jpg,Dolwin Fernandes,The PowerShell Scripting Crash Course,Go from an absolute beginner to an intermediate Powershell user in under 3 hours,4.4,259,All Levels,22 lectures,2.5 total hours,Current price: $49.99
powershell scripting,https://www.udemy.com/course/advanced-scripting-tool-making-using-windows-powershell/,https://img-c.udemycdn.com/course/240x135/1508964_fd4e.jpg,"TechSckool By Vijay, Pooja Kataria",Advanced Scripting & Tool Making using Windows PowerShell,"PowerShell | Simplified advanced training on PowerShell with real world problems, PowerShell Automation",4.2,3570,All Levels,64 lectures,7 total hours,Current price: $84.99
powershell scripting,https://www.udemy.com/course/decodingdevops/,https://img-c.udemycdn.com/course/240x135/4039556_ebb3_9.jpg,Imran Teli,DevOps Beginners to Advanced with Projects,"Begin Your DevOps Career As a Newbie | AWS, Linux, Scripting, Jenkins, Ansible, GitOps, Docker, Kubernetes, & Terraform.",4.6,36463,All Levels,318 lectures,53 total hours,Current price: $119.99
powershell scripting,https://www.udemy.com/course/master-microsoft-powershell/,https://img-c.udemycdn.com/course/240x135/915782_5dda.jpg,Tom Meservy,Master Microsoft PowerShell,Unleash the Power of PowerShell. Amazing skills for anyone that deals with IT.,4.5,16440,Beginner,31 lectures,2 total hours,Current price: $79.99
powershell scripting,https://www.udemy.com/course/learn-powershell-scripting/,https://img-c.udemycdn.com/course/240x135/2435922_3ba2.jpg,Pavan Kumar,Learn PowerShell Scripting,Windows PowerShell Scripting Course and Powershell Core for System Administrators,4.2,254,Intermediate,55 lectures,7 total hours,Current price: $49.99
powershell scripting,https://www.udemy.com/course/azure-powershell/,https://img-c.udemycdn.com/course/240x135/4574150_4af3.jpg,Alan Rodrigues,Mastering Azure PowerShell,Using Azure PowerShell to work with Azure-based resources,4.6,802,All Levels,136 lectures,20 total hours,Current price: $84.99
